colonies_number,yield_per_colony,stocks,average_price
12000,37,89000,478
485000,78,6809000,185
15000,79,664000,393
74000,35,622000,191
19000,50,266000,303
16000,45,36000,457
280000,71,12127000,176
6000,55,69000,488
133000,70,2607000,208
31000,32,169000,193
6000,52,69000,364
5000,38,30000,585
84000,35,412000,199
5000,32,43000,392
54000,62,1205000,267
40000,68,190000,178
7000,45,22000,288
22000,40,97000,199
29000,68,197000,197
335000,41,2198000,216
33000,43,284000,209
205000,43,529000,237
99000,32,190000,300
19000,131,25000,153
95000,44,1045000,179
11000,46,167000,509
8000,52,158000,361
35000,58,1035000,226
7000,79,260000,403
5000,38,42000,413
43000,81,279000,193
12000,33,51000,500
87000,45,822000,242
126000,62,1016000,193
18000,86,124000,182
8000,65,57000,370
145000,72,2506000,221
42000,63,423000,191
13000,28,167000,874
57000,56,766000,303
11000,41,99000,458
455000,74,4377000,191
15000,73,657000,324
78000,40,998000,210
16000,46,177000,351
16000,34,27000,270
255000,57,6541000,207
7000,41,75000,457
120000,66,2297000,217
27000,31,67000,208
7000,54,144000,402
6000,35,46000,577
77000,45,1594000,244
6000,40,50000,393
53000,56,683000,282
39000,53,186000,161
6000,45,14000,3.72
24000,38,109000,3.01
28000,50,84000,1.88
335000,41,3022000,2.11
31000,48,283000,2.05
215000,49,737000,2.4
98000,34,200000,2.76
17000,103,18000,1.92
96000,31,655000,1.96
11000,41,108000,4.83
7000,46,106000,3.58
38000,49,1005000,2.4
5000,73,95000,3.1
4000,41,34000,5.43
45000,83,261000,1.91
12000,32,92000,2.98
97000,44,768000,2.49
119000,61,1161000,1.94
20000,87,70000,2.07
9000,45,36000,2.83
160000,92,3680000,1.9
40000,59,850000,2.01
13000,31,165000,7.47
56000,48,833000,3.24
10000,33,63000,5.76
550000,72,4752000,1.87
14000,73,491000,3.72
93000,35,1009000,2.36
19000,44,309000,3.89
16000,48,15000,3.17
255000,47,5154000,1.91
7000,46,84000,4.11
132000,56,1035000,2.12
26000,41,75000,2.1
7000,48,94000,3.76
4000,40,35000,7.24
77000,43,563000,2.15
6000,37,38000,4.33
51000,45,711000,2.95
39000,56,175000,1.91
7000,42,44000,3.38
23000,46,201000,2.04
20000,55,176000,1.65
335000,48,3216000,1.6
32000,46,500000,2.34
205000,45,830000,2.46
102000,33,370000,2.67
16000,80,51000,1.3
92000,32,677000,1.62
11000,39,116000,4.12
9000,55,188000,3.78
38000,55,1170000,2.35
7000,79,171000,2.35
6000,41,44000,4.66
54000,72,428000,2.15
15000,35,110000,3.28
94000,50,1363000,2.56
118000,59,3063000,1.83
22000,80,141000,1.87
10000,43,73000,3.35
173000,86,5802000,1.49
39000,52,223000,1.44
15000,28,155000,4.68
59000,58,1027000,4
14000,42,118000,4.11
520000,65,6422000,1.43
15000,67,442000,3.46
87000,32,1141000,2.5
19000,50,409000,4.41
16000,47,45000,5.03
270000,72,7582000,1.56
8000,57,91000,4.72
126000,60,1663000,2.32
22000,29,89000,1.97
6000,48,84000,4.48
5000,39,49000,7.19
81000,35,1191000,2.18
6000,37,47000,4.26
46000,47,692000,3
39000,56,306000,1.43
7000,39,66000,5.52
25000,36,360000,2.38
20000,49,176000,1.85
320000,43,2752000,1.95
30000,41,455000,2.39
192000,46,883000,2.24
101000,34,412000,2.52
15000,105,79000,1.7
107000,35,637000,1.76
10000,52,156000,5.65
9000,55,149000,3.91
35000,58,1259000,2.54
8000,62,164000,3.25
7000,33,58000,5.76
33000,69,228000,2.46
10000,30,78000,3.36
95000,47,1384000,2.95
108000,55,2495000,1.8
25000,73,146000,1.99
9000,41,100000,3.59
110000,81,3208000,1.61
37000,52,250000,1.69
14000,31,91000,4.32
58000,56,844000,3.13
12000,38,123000,5.5
495000,78,8108000,1.59
16000,75,576000,3.5
95000,29,1102000,2.4
19000,48,392000,4.12
16000,46,66000,3.44
245000,61,8668000,1.77
7000,51,54000,4.23
157000,57,1253000,2
28000,34,171000,2.02
6000,47,96000,3.94
5000,40,54000,6.03
98000,37,798000,2.51
6000,46,58000,3.81
45000,50,855000,3.11
38000,40,608000,1.71
8000,40,112000,5.99
26000,40,368000,2.34
17000,50,255000,2.07
290000,33,1627000,2.4
29000,40,232000,2.78
193000,44,849000,2.42
96000,34,261000,2.73
15000,93,56000,2.21
100000,30,270000,2.37
10000,46,115000,5.83
10000,52,177000,3.89
38000,55,502000,2.46
7000,42,144000,2.74
7000,37,73000,4.6
37000,58,205000,2.5
11000,34,60000,3.18
101000,51,1957000,2.97
125000,57,285000,2.32
25000,71,71000,2.77
8000,35,92000,3.99
117000,57,1934000,2.17
39000,47,550000,2.17
15000,35,158000,3.27
57000,53,665000,4.15
13000,39,104000,6.84
515000,55,2266000,2.19
16000,64,389000,3.7
86000,31,693000,2.14
20000,42,336000,3.4
16000,42,67000,5.32
250000,49,5268000,2.27
8000,56,81000,5
137000,56,384000,2.3
31000,33,92000,2.18
7000,47,76000,3.28
6000,40,79000,8.23
96000,32,1206000,2.52
6000,43,136000,4.8
42000,47,750000,2.81
38000,58,242000,2.07
